MemberID,Year,TotalDue
1,2025,100.0
2,2025,100.0
3,2025,100.0
4,2025,100.0
5,2025,100.0
6,2025,100.0
7,2025,100.0
8,2025,100.0
9,2025,100.0
10,2025,100.0
11,2026,120.0
12,2026,95.0
13,2026,110.0
14,2026,105.0
15,2026,130.0
16,2026,90.0
17,2027,115.0
18,2027,125.0
19,2027,140.0
20,2027,85.0
21,2028,100.0
22,2028,95.0
23,2028,105.0
24,2028,110.0
25,2028,100.0
26,2029,125.0
27,2029,135.0
28,2029,145.0
29,2029,90.0
30,2029,100.0
31,2030,105.0
32,2030,110.0
33,2030,115.0
34,2030,120.0
35,2030,125.0
36,2031,130.0
37,2031,135.0
38,2031,140.0
39,2031,145.0
40,2031,150.0
41,2032,155.0
42,2032,160.0
43,2032,165.0
44,2032,170.0
45,2033,175.0
46,2033,180.0
47,2033,185.0
48,2033,190.0
49,2033,195.0
50,2033,200.0
