DuesID,AmountPaid,PaymentDate
1,48.68,2025-08-26
2,33.78,2026-03-01
3,39.59,2025-10-15
4,65.36,2025-04-14
5,72.86,2025-08-30
6,42.85,2026-03-16
7,48.32,2026-02-28
8,31.86,2025-07-15
9,43.81,2025-12-25
10,99.63,2025-05-27
11,55.12,2026-06-10
12,60.45,2026-07-05
13,78.23,2027-01-22
14,90.34,2027-04-18
15,85.76,2027-09-11
16,40.56,2028-02-14
17,66.89,2028-05-21
18,53.78,2028-09-30
19,75.63,2028-11-25
20,82.90,2029-03-19
21,50.45,2029-07-04
22,95.32,2029-08-15
23,102.50,2029-12-31
24,110.75,2030-04-10
25,99.99,2030-06-23
26,120.84,2030-09-14
27,130.12,2030-12-19
28,88.65,2031-02-20
29,115.30,2031-05-07
30,140.98,2031-07-16
31,100.40,2031-10-30
32,125.75,2032-01-10
33,135.88,2032-03-22
34,145.32,2032-06-05
35,150.50,2032-08-18
36,160.75,2032-10-30
37,175.60,2033-01-25
38,180.92,2033-04-15
39,190.34,2033-07-29
40,200.10,2033-11-05
41,210.75,2034-02-14
42,220.50,2034-05-20
43,230.25,2034-08-31
44,240.99,2034-11-27
45,250.85,2035-03-06
46,260.10,2035-06-18
47,270.45,2035-09-25
48,280.32,2035-12-30
49,290.80,2036-04-08
50,300.55,2036-07-14
