Title,Author,Genre,NumberOfActs,Cost
Play 1,Cameron Cooper,Comedy,1,121.24
Play 2,Elizabeth Lopez,Comedy,2,134.75
Play 3,Valerie Haynes,Comedy,2,258.25
Play 4,Brian Cole,Drama,3,140.53
Play 5,Jacqueline Baxter,Drama,3,270.31
Play 6,Jacqueline Warren,Drama,3,222.25
Play 7,Kyle Benson,Tragedy,3,274.94
Play 8,Matthew Moore,Tragedy,2,170.21
Play 9,Natasha Garcia,Comedy,2,259.25
Play 10,Sandra Walters,Tragedy,1,211.18
Play 11,Aaron Clarke,Comedy,2,180.40
Play 12,Michelle Hayes,Drama,3,230.15
Play 13,Kenneth Powell,Tragedy,2,159.95
Play 14,Patricia Lewis,Comedy,2,179.50
Play 15,John Campbell,Drama,3,243.30
Play 16,Emily Moore,Tragedy,1,186.25
Play 17,Frank Harris,Comedy,2,192.75
Play 18,Rebecca Bennett,Tragedy,3,289.40
Play 19,William Stewart,Comedy,1,213.60
Play 20,Laura Price,Drama,3,210.05
Play 21,James Taylor,Tragedy,1,232.20
Play 22,Natalie Foster,Comedy,1,165.45
Play 23,David Young,Drama,2,185.55
Play 24,Michelle Evans,Tragedy,3,271.10
Play 25,Chris Lee,Comedy,2,198.65
Play 26,Jessica Morgan,Drama,1,248.20
Play 27,George Martinez,Tragedy,2,229.30
Play 28,Mark Jackson,Comedy,3,255.75
Play 29,Steven King,Drama,2,270.85
Play 30,Olivia Clark,Tragedy,3,256.00
Play 31,Peter White,Comedy,1,221.40
Play 32,Angela Scott,Drama,3,245.00
Play 33,Paul Mitchell,Tragedy,2,263.75
Play 34,Daniel Thompson,Comedy,2,195.80
Play 35,Katherine Robinson,Drama,3,278.50
Play 36,Jonathan Harris,Tragedy,1,242.55
Play 37,Claire Brown,Comedy,3,233.10
Play 38,Samuel Wright,Drama,2,212.95
Play 39,Victoria Hill,Tragedy,3,285.60
Play 40,Joshua Garcia,Comedy,1,193.30
Play 41,Amber Wilson,Drama,2,201.20
Play 42,Matthew Wright,Tragedy,3,241.00
Play 43,Lisa Anderson,Comedy,2,221.50
Play 44,James Parker,Drama,3,249.40
Play 45,Betty Carter,Tragedy,1,215.30
Play 46,Joshua Adams,Comedy,3,266.75
Play 47,Emily Walker,Drama,2,268.60
Play 48,Thomas Nelson,Tragedy,2,276.85
Play 49,Chloe Evans,Comedy,1,182.90
Play 50,John Morris,Drama,3,235.35
