ProductionID,SponsorID,ContributionAmount
1,1,286.44
2,2,237.43
3,3,281.47
4,4,428.07
5,5,344.01
6,6,499.52
7,7,236.82
8,8,404.61
9,9,343.96
10,10,452.99
11,11,305.26
12,12,372.85
13,13,217.55
14,14,492.44
15,15,263.77
16,16,384.91
17,17,420.53
18,18,351.92
19,19,475.74
20,20,413.13
21,21,329.56
22,22,391.39
23,23,269.84
24,24,332.72
25,25,457.91
26,26,298.65
27,27,342.17
28,28,405.23
29,29,467.28
30,30,295.89
31,31,333.72
32,32,368.09
33,33,410.37
34,34,384.12
35,35,251.46
36,36,432.68
37,37,499.23
38,38,310.71
39,39,261.50
40,40,406.59
41,41,425.44
42,42,468.97
43,43,393.81
44,44,380.19
45,45,278.64
46,46,340.48
47,47,471.62
48,48,331.90
49,49,447.14
50,50,299.28
